ano,delegacao,nivel_renda,media_gdp,total_medalhas,qtd_paises
1996,KEN,Média Renda,3941,8,1
2004,KEN,Média Renda,3743,7,1
2016,KEN,Média Renda,4770,13,1
2012,KEN,Média Renda,4387,11,1
2012,KGZ,Média Renda,4993,0,1
2004,KGZ,Média Renda,4211,0,1
2008,KGZ,Média Renda,4894,2,1
2016,KGZ,Média Renda,5715,0,1
1996,KOR,Média Renda,21175,55,1
2000,KOR,Média Renda,25111,70,1
2008,KOR,Média Renda,35293,77,1
2012,KOR,Média Renda,39420,58,1
2004,KOR,Média Renda,30089,51,1
2016,KOR,Média Renda,43538,26,1
1992,KOR,Média Renda,15955,43,1
2012,LAO,Média Renda,5608,0,1
2008,LAO,Média Renda,4367,0,1
2016,LAO,Média Renda,7063,0,1
1996,LCA,Média Renda,18301,0,1
2012,LCA,Média Renda,21515,0,1
2000,LCA,Média Renda,18818,0,1
2008,LCA,Média Renda,21651,0,1
2004,LCA,Média Renda,19715,0,1
2016,LCA,Média Renda,21775,0,1
1996,LTU,Média Renda,12873,11,1
1992,LTU,Média Renda,15280,13,1
2016,LTU,Média Renda,36618,7,1
2004,LTU,Média Renda,21867,3,1
2012,LTU,Média Renda,30920,5,1
2008,LTU,Média Renda,30445,5,1
2000,LTU,Média Renda,15771,17,1
2004,MAR,Média Renda,5996,3,1
1992,MAR,Média Renda,4483,3,1
2012,MAR,Média Renda,7628,1,1
2000,MAR,Média Renda,5100,5,1
2008,MAR,Média Renda,6901,2,1
1996,MAR,Média Renda,4916,2,1
2016,MAR,Média Renda,8141,1,1
2012,MDA,Média Renda,10158,2,1
1996,MDA,Média Renda,6063,3,1
2016,MDA,Média Renda,12377,0,1
2008,MDA,Média Renda,9563,1,1
2000,MDA,Média Renda,5727,2,1
2004,MDA,Média Renda,7573,0,1
2000,MDV,Média Renda,13738,0,1
2008,MDV,Média Renda,18344,0,1
1992,MDV,Média Renda,9120,0,1
1996,MDV,Média Renda,11495,0,1
2012,MDV,Média Renda,17390,0,1
2016,MDV,Média Renda,19345,0,1
2004,MDV,Média Renda,15958,0,1
1992,MEX,Média Renda,17796,1,1
2004,MEX,Média Renda,20127,4,1
2016,MEX,Média Renda,21578,5,1
2008,MEX,Média Renda,20992,4,1
2000,MEX,Média Renda,20470,6,1
1996,MEX,Média Renda,17775,1,1
2012,MEX,Média Renda,20898,23,1
2008,MHL,Média Renda,3903,0,1
2016,MHL,Média Renda,4896,0,1
2012,MHL,Média Renda,4244,0,1
1996,MKD,Média Renda,10550,0,1
2016,MKD,Média Renda,19824,0,1
2004,MKD,Média Renda,12682,0,1
2008,MKD,Média Renda,16037,0,1
2000,MKD,Média Renda,11987,1,1
2012,MKD,Média Renda,17189,0,1
1992,MLT,Média Renda,19495,0,1
1996,MLT,Média Renda,22980,0,1
2012,MLT,Média Renda,38899,0,1
2008,MLT,Média Renda,36252,0,1
2004,MLT,Média Renda,32032,0,1
2000,MLT,Média Renda,31038,0,1
2016,MLT,Média Renda,46922,0,1
2016,MNE,Média Renda,21737,0,1
2012,MNE,Média Renda,19499,13,1
2008,MNE,Média Renda,20209,0,1
2016,NAM,Média Renda,11846,0,1
2012,NAM,Média Renda,11266,0,1
2008,NAM,Média Renda,10286,0,1
1992,NAM,Média Renda,7911,2,1
1996,NAM,Média Renda,7538,2,1
2000,NAM,Média Renda,7858,0,1
2004,NAM,Média Renda,9130,0,1
2016,NRU,Média Renda,11630,0,1
2008,NRU,Média Renda,7421,0,1
1996,NRU,Média Renda,12813,0,1
2012,NRU,Média Renda,9766,0,1
2000,NRU,Média Renda,8969,0,1
2004,NRU,Média Renda,7302,0,1
2008,NZL,Média Renda,41561,14,1
2000,NZL,Média Renda,35879,4,1
2016,NZL,Média Renda,45626,36,1
1996,NZL,Média Renda,33231,9,1
1992,NZL,Média Renda,28938,15,1
2012,NZL,Média Renda,42570,27,1
2004,NZL,Média Renda,39971,5,1
2012,PAK,Média Renda,4292,0,1
2004,PAK,Média Renda,3859,0,1
2008,PAK,Média Renda,4233,0,1
2016,PAK,Média Renda,4886,0,1
2004,PAN,Média Renda,15875,0,1
2016,PAN,Média Renda,30765,0,1
2008,PAN,Média Renda,21867,1,1
1996,PAN,Média Renda,12327,0,1
2000,PAN,Média Renda,14572,0,1
1992,PAN,Média Renda,12866,0,1
2012,PAN,Média Renda,26926,0,1
2004,PER,Média Renda,8495,0,1
1996,PER,Média Renda,7437,0,1
1992,PER,Média Renda,6161,1,1
2000,PER,Média Renda,7669,0,1
2008,PER,Média Renda,11151,0,1
2016,PER,Média Renda,14917,0,1
2012,PER,Média Renda,13395,0,1
2004,PLW,Média Renda,16807,0,1
2016,PLW,Média Renda,19902,0,1
2012,PLW,Média Renda,18219,0,1
2000,PLW,Média Renda,15440,0,1
2008,PLW,Média Renda,17406,0,1
1996,PNG,Média Renda,4167,0,1
2016,PNG,Média Renda,4275,0,1
1996,POL,Média Renda,15083,22,1
2012,POL,Média Renda,28952,12,1
2008,POL,Média Renda,25553,20,1
2016,POL,Média Renda,32675,16,1
2000,POL,Média Renda,18566,24,1
1992,POL,Média Renda,12141,46,1
2004,POL,Média Renda,20878,12,1
2004,ROU,Média Renda,19530,39,1
2012,ROU,Média Renda,26764,16,1
2016,ROU,Média Renda,30185,16,1
2008,ROU,Média Renda,27036,22,1
1996,ROU,Média Renda,15486,37,1
2000,ROU,Média Renda,14852,46,1
1992,ROU,Média Renda,13193,51,1
2004,RUS,Média Renda,25894,187,1
2012,RUS,Média Renda,35740,138,1
2016,RUS,Média Renda,35005,114,1
2008,RUS,Média Renda,34342,141,1
1996,RUS,Média Renda,17699,113,1
2000,RUS,Média Renda,20104,185,1
1992,SGP,Média Renda,48897,0,1
2012,SRB,Média Renda,17992,15,1
2016,SRB,Média Renda,18888,54,1
2008,SRB,Média Renda,17982,14,1
1996,STP,Média Renda,3801,0,1
2012,STP,Média Renda,4919,0,1
2004,STP,Média Renda,4202,0,1
2000,STP,Média Renda,3852,0,1
2008,STP,Média Renda,4873,0,1
2016,STP,Média Renda,5388,0,1
2016,SUR,Média Renda,21950,0,1
1996,SUR,Média Renda,16184,0,1
2004,SUR,Média Renda,18585,0,1
