Ano-Calendário;Tipo de Formulário;Faixa de Rendimento;Quantidade de Declarantes;Rendimentos Tributáveis;Rendimentos sujeitos a Tributação Exclusiva;Rendimentos Isentos;Dedução Previdenciária Total;Deduções Previdência Oficial;Deduções Previdenciárias RRA;Deduções Previdência Privada e FAPI;Deduções com Dependentes;Deduções com Instrução;Deduções com despesas Médicas;Dedução de Livro Caixa;Deduções  com Pensão Alimentícia Total;Deduções com Pensão Alimentícia Judicial;Deduções com Pensão Alimentícia Escritural;Deduções com Pensão Alimentícia RRA;Desconto Padrão;Base de Cálculo (RTL);Imposto Devido;Dedução de Incentivo;Imposto Devido 1;Imposto Devido RRA;Imposto Devido Total;Imposto Pago;Imposto a Pagar;Imposto a Restituir;Dívidas   e Ônus;Doações e Heranças Recebidas;Bens e Direitos;Previdência Complementar (VGBL);Valores Pagos com Previdência Complementar (PGBL);Valores Pagos com Previdência Complementar de Natureza Pública;Valores Pagos com FAPI;Despesas com Instrução;Despesas Médicas;Pensão Alimentícia Judicial;Despesas com Pensão Alimentícia Escritural;Despesas com Profissionais Liberais;Despesas com Arrendamento Rural;Outras Despesas;Doações Efetuadas
2019;Completo;Até 22.847,76;4150955;78157,70816;38008,7571;209065,5005;5974,004915;5702,826628;7,47559289;263,7026937;6204,425825;2378,648731;12867,03421;1571,298301;2066,865181;1819,366898;240,0250652;7,47321776;0;47095,43099;3,10296574;0,00008715;3,10287859;138,1174193;141,220298;1619,466184;11,81677355;1490,062659;102553,2138;26601,22011;1724375,229;12725,92886;577,5913013;1,51942478;171,3082158;6027,124886;17464,68286;2535,749521;370,0227334;1465,218347;73,18605787;3216,441176;8729,448323
2019;Completo;De 22.847,77 até 33.919,80;2576811;109495,6425;14206,43891;38216,78115;9953,947389;9489,838761;7,15254599;456,9560822;8487,74106;4110,690156;12042,17672;1380,272143;1922,872187;1734,816312;185,1027326;2,95314207;0;71597,94289;958,5370354;0,20902637;958,328009;30,64472415;988,9727332;2937,75803;113,7557259;2062,541022;30253,75997;2833,285468;388734,918;2761,533339;399,6663202;3,33697621;158,9454916;7437,233063;12146,28465;1738,699622;185,6686666;390,6911298;12,18037291;1012,873491;1214,699158
2019;Completo;De 33.919,81 até 45.012,60;1472673;85257,32249;11344,92326;29572,28197;8030,226042;7509,390422;4,87131876;515,9643005;4903,427597;3040,405984;9333,291687;1097,953795;1488,375745;1341,061676;145,3718026;1,94226676;0;57363,64164;2339,08677;0,91884644;2338,167923;26,02173832;2364,189662;4170,505897;276,3198975;2082,636133;45674,17291;2440,627533;288697,0162;2157,127902;449,4469239;5,02558279;160,0489555;5921,734844;9432,01178;1344,340477;145,6660611;315,191502;13,93478039;808,5837282;1238,737234
2019;Completo;De 45.012,61 até 55.976,16;896560;65466,8622;9728,823321;24331,30507;6151,640526;5640,574257;4,33353544;506,7327334;2997,365573;2226,597535;7143,910768;909,0465647;1172,66679;1054,830217;116,5156483;1,32092525;0;44865,63444;3254,968949;1,67511509;3253,293834;20,12657214;3273,420406;4586,290784;389,9475903;1702,817968;20158,75005;1724,261517;268656,4451;1957,464685;435,7902979;5,99088643;149,7965217;4588,340506;7229,490257;1057,922044;116,8295302;239,8369415;12,55864476;637,2564684;820,6972597
2019;Completo;Acima de 55.976,16;3941678;773245,8398;134829,3617;245024,7622;62710,19073;47914,71152;41,01941493;14754,4598;11090,80569;9635,431769;50327,87824;14985,93341;8983,941542;7920,373119;1057,602135;5,9662882;0;615511,6584;128170,4337;234,1458489;127936,2879;529,4199941;128465,7079;128143,8422;10408,35681;10086,49106;222384,4651;27817,95147;3263618,267;31699,84435;12430,60414;697,0762262;3025,584178;30121,00787;51885,35549;7955,219364;1063,507791;3080,941551;97,08502844;9653,077424;21081,4494
2019;Simplificado;Até 22.847,76;6540564;111543,1498;26202,53287;230274,3257;0;0;0;0;0;0;0;0;0;0;0;0;22308,61908;89234,53071;0,53128864;0;0,53128864;90,65489175;90,65489175;886,7347542;7,514726;810,3384772;111023,516;39316,01402;1527354,698;10345,06819;226,3125206;11,82099572;71,00850109;1357,85614;4983,011892;386,0662652;67,64587132;1054,258268;48,86554419;1801,744732;5046,087429
2019;Simplificado;De 22.847,77 até 33.919,80;4201615;145983,2481;16664,21968;53475,95054;0;0;0;0;0;0;0;0;0;0;0;0;29196,63517;116786,6129;1559,381104;0;1559,381104;30,60741653;1589,782459;2802,579318;324,7614023;1562,422107;43685,77091;4089,134695;549816,6693;3620,093148;91,74630947;5,69608295;39,00879977;616,1836147;1943,780367;45,32461241;6,58041652;486,7125542;22,4767098;940,8337333;1642,38906
2019;Simplificado;De 33.919,81 até 45.012,60;2308866;112554,4646;14025,20397;36401,46506;0;0;0;0;0;0;0;0;0;0;0;0;22510,8844;90043,58022;3676,538904;0;3676,538904;30,15641527;3706,52497;4604,025636;753,1602288;1700,999478;33775,35726;3257,412081;433878,384;2801,513541;101,0994243;6,17571772;43,40641398;674,3400033;2073,257981;35,6170598;8,92970655;400,8291994;15,63478016;886,6377036;1163,057966
2019;Simplificado;De 45.012,61 até 55.976,16;1449062;90814,36084;11480,96277;31132,11774;0;0;0;0;0;0;0;0;0;0;0;0;18162,86675;72651,49409;5285,427463;0;5285,427463;34,77454023;5319,924865;5858,844145;1030,190334;1634,659005;28534,58654;2641,752206;405466,6663;2669,085524;102,9546091;6,9196479;45,9851429;663,0414758;2017,062544;33,13764234;3,79387185;358,2209401;13,70368292;745,9668961;1111,932807
2019;Simplificado;Acima de 55.976,16;2959720;340683,0962;57687,07494;139498,9345;0;0;0;0;0;0;0;0;0;0;0;0;48130,03992;292553,0563;49576,54494;0;49576,54494;160,4548976;49735,78494;43093,52195;8785,097159;3709,220834;117543,7903;14946,57676;1577619,429;15178,14475;611,3775049;62,98017425;269,4664911;2371,344056;6354,596781;70,14235674;12,13430857;1622,664887;92,84112291;3935,622962;11540,59223
